tag,alpha_mult,friction,lid_gap_radii,input,run_dir,completed_cycles,hot_side_p0,hot_side_pN,hot_side_gain,hot_bottom_gain,hot_lid_gain,Z_cold_1,Z_cold_N,fabric_cold_N,rattler_cold_N,force_gini_cold_N,survival_N,alpha2_N,work_proxy_total,hot_bottom_p0,hot_bottom_pN,cold_bottom_p0,cold_bottom_pN,hot_side_pN_abs,cold_side_pN,hot_lid_pN_abs,cold_lid_pN,cold_porosity_N,cold_keff_N,ratchet_gain_bottom,hot_load_risk,cold_load_risk
a050_mu010_g020,0.5,0.1,0.2,inputs/matrix/in.a050_mu010_g020,runs/regime_matrix_10k/a050_mu010_g020,10,28.102754910726432,7.919654935706945,0.2818106253591573,2.154277785566824,0.0,4.377410740777371,5.61724854119276,0.0028679208677088,0.0358025912372663,0.415332791377802,0.8428625046916052,0.005261108341225,0.0009082473315103,63.684852092151026,137.19486213922983,505.9478104453792,895.444930749236,7.919654935706945,17.5420825015571,0.0,0.0,0.415027955499397,0.521490934468821,1.769836556780407,145.11451707493677,912.9870132507931
a050_mu010_g002,0.5,0.1,0.02,inputs/matrix/in.a050_mu010_g002,runs/regime_matrix_10k/a050_mu010_g002,10,18.4379977978457,3.7763642563086983,0.2048142264530441,1.5965703612879996,0.0,4.613589160320443,5.5954900603303335,0.0025776416953692,0.0386707546236771,0.4135549045610853,0.83954781088002,-0.0142008826853664,0.0008686213172965,84.09214960927524,134.2590336831651,777.7105433137954,959.9541166760772,3.7763642563086983,8.6349102784142,0.0,0.0,0.41410732626531,0.52376282038842,1.2343334225427225,138.0353979394738,968.5890269544914
a050_mu010_g000,0.5,0.1,0.0,inputs/matrix/in.a050_mu010_g000,runs/regime_matrix_10k/a050_mu010_g000,10,14.272728485118645,4.77662104712455,0.3346676882492971,1.824859873817524,0.0,4.469238377843719,5.586943620178041,0.0030314208209166,0.0368941641938674,0.4141366782396786,0.8384615384615385,0.0176581615605961,0.0008222100728879,69.38300132981944,126.6142550518154,558.7449034797171,929.4299133677208,4.77662104712455,9.99984642681558,0.0,0.0,0.411249907371387,0.530863238365248,1.6634244135015361,131.39087609893994,939.4297597945364
a050_mu030_g020,0.5,0.3,0.2,inputs/matrix/in.a050_mu030_g020,runs/regime_matrix_10k/a050_mu030_g020,10,28.1318987066841,9.993604282290631,0.3552410161322017,2.3581538679372502,0.0,4.260508357234695,5.409949559885273,0.0059507832652977,0.0340223518939768,0.428012776852828,0.8400900900900901,0.0556945575290739,0.0005703617075534,71.82993163652684,169.386031122344,388.86541632662176,843.4261800512803,9.993604282290631,16.13671850773846,0.0,0.0,0.424964907768281,0.497451688947286,2.168941090258479,179.37963540463463,859.5628985590188
a050_mu030_g002,0.5,0.3,0.02,inputs/matrix/in.a050_mu030_g002,runs/regime_matrix_10k/a050_mu030_g002,10,16.41651921073232,11.90186118568078,0.7249929801135871,2.7488081622326,0.0,4.502620907922065,5.446938977351399,0.003430219411895,0.0331322322223321,0.4360436783303472,0.843066277989557,0.0791694986408355,0.000551542953509,64.83908349843686,178.23020195218436,636.3257644880043,861.6570725510142,11.90186118568078,12.440349574301507,0.0,0.0,0.419138470531552,0.511440298463858,1.3541131298436646,190.13206313786515,874.0974221253157
a050_mu030_g000,0.5,0.3,0.0,inputs/matrix/in.a050_mu030_g000,runs/regime_matrix_10k/a050_mu030_g000,10,33.574136831879606,11.161336426985525,0.3324385220348395,1.8939344171077368,0.0,4.492185954500495,5.423145400593472,0.0037917512764597,0.0328387734915924,0.4311689677892325,0.840314304041052,-0.0032087664715956,0.0005209349991021,92.83301968468996,175.8196510248743,522.2473970336868,891.9825905310372,11.161336426985525,16.051349903926038,0.0,0.0,0.419169386410803,0.511365279210841,1.7079694328730206,186.98098745185982,908.0339404349633
a050_mu060_g020,0.5,0.6,0.2,inputs/matrix/in.a050_mu060_g020,runs/regime_matrix_10k/a050_mu060_g020,10,9.331704420353256,43.81207840525979,4.694970653989195,3.3311637011646864,0.0,4.399762634754228,5.129067352388488,0.0075823947857948,0.0351102759370982,0.4492074251276657,0.8078834051010269,0.3297021456783009,0.0005953822624643,96.38492281830784,321.073956231907,660.8706353232352,701.3597890019552,43.81207840525979,14.384556949869827,0.0,0.0,0.425119886551009,0.497083683251518,1.0612663833352445,364.8860346371668,715.744345951825
a050_mu060_g002,0.5,0.6,0.02,inputs/matrix/in.a050_mu060_g002,runs/regime_matrix_10k/a050_mu060_g002,10,25.837595024028943,43.593218171054254,1.6872010777517257,2.6079288644222505,0.0,4.618336465235882,5.206211057264365,0.0065931079538468,0.0319454059934724,0.4373129846164861,0.8193569661995054,0.2722824741992198,0.0005862843806502,119.6906000810255,312.1445707513265,794.6744737392336,746.5113851889057,43.593218171054254,17.362752451158624,0.0,0.0,0.42109989469083,0.506697628247322,0.939392681982469,355.7377889223808,763.8741376400643
a050_mu060_g000,0.5,0.6,0.0,inputs/matrix/in.a050_mu060_g000,runs/regime_matrix_10k/a050_mu060_g000,10,4.478375427824141,48.370843223984664,10.80097995435056,3.764966184413959,0.0,4.635014836795253,5.193076162215628,0.006853828876892,0.0321463897131552,0.4428655422848717,0.8160021107483263,0.3225055713399452,0.0005561900526838,84.16994407526379,316.89699318738224,852.2704865421408,747.6174806255623,48.370843223984664,11.525027701229526,0.0,0.0,0.420657092110933,0.507765326230792,0.8772068168860568,365.2678364113669,759.1425083267918
a100_mu010_g020,1.0,0.1,0.2,inputs/matrix/in.a100_mu010_g020,runs/regime_matrix_10k/a100_mu010_g020,10,7.26688840634434,7.463637432695718,1.0270747279096244,0.6930186198947109,0.0,3.9459994065868855,3.830877262387499,0.0128018550982978,0.1148254376421718,0.4831379743076843,0.5579894386857032,1.860365721063764,0.0016445694449884,72.32621871905975,50.1234162788858,502.55160442126936,349.10712279072754,7.463637432695718,3.4714754949150777,0.0,4.7716231987238045,0.425628641064263,0.495877093675596,0.6946692035592124,57.58705371158152,357.35022148436644
