run,tag,regime_id,cycle,force_p99_cold,force_p99_hot,force_p99_hot_minus_cold,force_share_top5_edges_cold,force_share_top5_edges_hot,force_share_top5_edges_hot_minus_cold,giant_fraction_after_top5_edges_cold,giant_fraction_after_top5_edges_hot,giant_fraction_after_top5_edges_hot_minus_cold,force_h1_birth_fraction_cold,force_h1_birth_fraction_hot,force_h1_birth_fraction_hot_minus_cold,force_h1_birth_force_share_cold,force_h1_birth_force_share_hot,force_h1_birth_force_share_hot_minus_cold,bottom_side_percolation_edge_fraction_cold,bottom_side_percolation_edge_fraction_hot,bottom_side_percolation_edge_fraction_hot_minus_cold,alpha_mult,friction,lid_gap_radii,hot_susceptibility_index,cold_memory_index,loss_index,overload_number,L,T,giant_activation,frictional_expansion,boundary_attenuation,dimensionless_loop_number,dimensionless_top5_number,loop_number_no_boundary,loop_number_no_friction,loop_number_friction_only,overload_positive,absolute_circulation,phase_speed,tangential_fraction,radial_contraction,spectral_radius,one_step_gain,peak_normalized_gain,antisymmetric_strength,nonnormality,overload_number_asinh,route_centered_overload_asinh,route_centered_overload_number,S,loop_x_severity,overload,response_coordinate,overload_response,susceptibility_slope,route_severity_table,slope_safe,susceptibility_normalized_overload,SxL,SxT,cycle_z
R1_low_expansion_low_friction,a050_mu010_g002,R1,1,0.0015791092079688,0.0020838787433817,0.0005047695354128,0.1720521500856151,0.2756554538484581,0.103603303762843,0.0030160857908847,0.001038637307852,-0.0019774484830326,0.6612051374384827,0.5014496755488057,-0.159755461889677,0.5772652476345654,0.4864989869392386,-0.0907662606953267,0.0125435121834113,0.5359657600441806,0.5234222478607693,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,0.4901637071222786,-0.0907662606953267,0.103603303762843,-0.0019774484830326,0.05,0.9803921568627452,-0.0044493265046728,0.0050785933217079,-0.0045383130347663,-0.0453831303476633,-0.0090766260695326,True,7.627877884154185,6.122486748967835,0.204783784221421,3.527242044134223,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,0.2426924129141688,0.4758118454316468,0.96200461121664,0.0490196078431372,-0.0044493265046728,0.2426924129141688,-0.0044493265046728,0.2426924129141688,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,-0.177036509544995,-0.004449326504672872,0.005078593321707984,-1.6752467319482305
R1_low_expansion_low_friction,a050_mu010_g002,R1,2,0.0013034922195961,0.0005987943552559,-0.0007046978643402,0.155120833567416,0.2703582165826844,0.1152373830152684,0.0037133819282079,0.0052930544797314,0.0015796725515235,0.7261089840275361,0.6691746159702628,-0.0569343680572732,0.6383273569603629,0.5576412706859248,-0.080686086274438,0.0025138260432378,0.0048367593712212,0.0023229333279834,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.684306982400717,-0.080686086274438,0.1152373830152684,0.0015796725515235,0.05,0.9803921568627452,-0.0039552003075704,0.0056488913242778,-0.0040343043137219,-0.040343043137219,-0.0080686086274438,False,0.7488878846636134,1.743258833197172,0.1680298627892276,1.470357326244604,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.3358065483776062,-0.1026871158601282,-0.2124660783063555,0.0490196078431372,-0.0039552003075704,-0.3358065483776062,-0.0039552003075704,-0.3358065483776062,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.2449603532853297,-0.0039552003075704854,0.005648891324277856,-1.5597124745724904
R1_low_expansion_low_friction,a050_mu010_g002,R1,3,0.001109159737461,0.00045846821618,-0.0006506915212809,0.1524480692984011,0.2925271500782715,0.1400790807798703,0.0027825011593754,0.0153374233128834,0.0125549221535079,0.7144235186035829,0.6687380709308003,-0.0456854476727826,0.6270775069334835,0.5635984112266039,-0.0634790957068796,0.0024804777216352,0.0018642638377202,-0.000616213883915,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6318633473061083,-0.0634790957068796,0.1400790807798703,0.0125549221535079,0.05,0.9803921568627452,-0.0031117203777882,0.0068666216068563,-0.0031739547853439,-0.0317395478534398,-0.0063479095706879,False,0.3503217964107411,0.6996202259043925,0.4609614326887342,-0.416473722620349,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.3108989268529668,-0.0777794943354888,-0.1600224432117468,0.0490196078431372,-0.0031117203777882,-0.3108989268529668,-0.0031117203777882,-0.3108989268529668,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.2267910239567303,-0.003111720377788212,0.006866621606856379,-1.4441782171967503
R1_low_expansion_low_friction,a050_mu010_g002,R1,4,0.0010963498276984,0.0003377362273213,-0.0007586136003771,0.1499820214942882,0.2809508352334987,0.1309688137392105,0.0024957104975822,0.0242904290429042,0.021794718545322,0.7211499708924813,0.6586353030808056,-0.0625146678116757,0.6328304677853313,0.5641682540628358,-0.0686622137224954,0.0005821503739196,0.0043331269939526,0.003750976620033,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.7366626322448795,-0.0686622137224954,0.1309688137392105,0.021794718545322,0.05,0.9803921568627452,-0.0033657947903184,0.0064200398891769,-0.0034331106861247,-0.0343311068612477,-0.0068662213722495,False,0.0300820482572839,1.4006975919323343,0.0142914516746406,1.3925923252787578,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.3604737017647273,-0.1273542692472493,-0.264821728150518,0.0490196078431372,-0.0033657947903184,-0.3604737017647273,-0.0033657947903183,-0.3604737017647273,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.2629542686435793,-0.003365794790318398,0.0064200398891769775,-1.3286439598210102
R1_low_expansion_low_friction,a050_mu010_g002,R1,5,0.0010322534378066,0.0004160816419203,-0.0006161717958863,0.1493042743191577,0.2893182447545788,0.140013970435421,0.0037819098644815,0.0458858702716755,0.0421039604071939,0.7187371122210512,0.6710007173601148,-0.0477363948609363,0.6300397481750608,0.5790476544170935,-0.0509920937579673,0.0017412821335288,0.0009863701578192,-0.0007549119757096,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.5983424721716318,-0.0509920937579673,0.140013970435421,0.0421039604071939,0.05,0.9803921568627452,-0.002499612439116,0.0068634299233049,-0.0025496046878983,-0.0254960468789836,-0.0050992093757967,False,0.0093312060753953,0.5506652882734968,0.1538282644657974,-0.5461979236959744,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.2948791452306223,-0.0617597127131444,-0.1265015680772703,0.0490196078431372,-0.002499612439116,-0.2948791452306223,-0.002499612439116,-0.2948791452306223,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.2151050953030977,-0.0024996124391160413,0.006863429923304943,-1.2131097024452704
R1_low_expansion_low_friction,a050_mu010_g002,R1,6,0.0010571411676117,0.0003668728812552,-0.0006902682863565,0.1510553719506481,0.2851480481126416,0.1340926761619935,0.002475630512146,0.0378969842540699,0.0354213537419238,0.7212583751164752,0.6625113870642949,-0.0587469880521802,0.6316087001253426,0.5738197637902611,-0.0577889363350815,0.0001331144340417,0.0013424749484585,0.0012093605144167,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6702949334546247,-0.0577889363350815,0.1340926761619935,0.0354213537419238,0.05,0.9803921568627452,-0.0028327909968177,0.0065731704000977,-0.002889446816754,-0.0288944681675407,-0.0057788936335081,False,0.0056853971780858,0.829081966228616,0.010447786391283,-0.829001979146338,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.3291707193658112,-0.0960512868483332,-0.1984540293602631,0.0490196078431372,-0.0028327909968177,-0.3291707193658112,-0.0028327909968177,-0.3291707193658112,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.2401197239797853,-0.0028327909968177173,0.0065731704000977125,-1.0975754450695303
R1_low_expansion_low_friction,a050_mu010_g002,R1,7,0.00101865551143,0.0003344383090714,-0.0006842172023585,0.148530037170044,0.2861473077551307,0.1376172705850867,0.0022158911047799,0.0283282351376512,0.0261123440328712,0.7233850187604539,0.6546660117878192,-0.0687190069726346,0.634215708471902,0.5662912672514553,-0.0679244412204467,0.0010849419104018,0.0022102161100196,0.0011252741996177,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6644189414295862,-0.0679244412204467,0.1376172705850867,0.0261123440328712,0.05,0.9803921568627452,-0.0033296294715905,0.0067459446365238,-0.0033962220610223,-0.0339622206102233,-0.0067924441220446,False,0.0770703268032491,0.7794856475192176,0.0665653350365828,0.7650328051939845,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.3263837809456625,-0.0932643484281845,-0.1925780373352247,0.0490196078431372,-0.0033296294715905,-0.3263837809456625,-0.0033296294715905,-0.3263837809456625,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.2380867397414422,-0.0033296294715905207,0.0067459446365238495,-0.9820411876937902
R1_low_expansion_low_friction,a050_mu010_g002,R1,8,0.0010721091017926,0.0003657678471804,-0.0007063412546121,0.153913747922985,0.2889060770102938,0.1349923290873088,0.0025086233929131,0.0366016564253272,0.0340930330324141,0.7233482142857143,0.6572028928850665,-0.0661453214006477,0.6327066045862979,0.5746267497163013,-0.0580798548699965,0.00375,0.001759186864738,-0.0019908131352619,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6859028201274618,-0.0580798548699965,0.1349923290873088,0.0340930330324141,0.05,0.9803921568627452,-0.0028470517093135,0.0066172710336916,-0.0029039927434998,-0.0290399274349982,-0.0058079854869996,False,0.0451967523759101,0.5228570427600203,0.1200040883957054,0.4733217900145089,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.3365614070135928,-0.1034419744961148,-0.2140619160331003,0.0490196078431372,-0.0028470517093135,-0.3365614070135928,-0.0028470517093135,-0.3365614070135928,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.2455109990039588,-0.002847051709313551,0.0066172710336916,-0.8665069303180502
R1_low_expansion_low_friction,a050_mu010_g002,R1,9,0.0010428493420751,0.0004050576491163,-0.0006377916929588,0.150731821289245,0.2886549550965778,0.1379231338073328,0.0020478890989287,0.0379713572460911,0.0359234681471623,0.7216979002032061,0.6618588983251886,-0.0598390018780174,0.6315107237782389,0.5799838594415937,-0.0515268643366452,0.0024836306163919,0.0007116762347582,-0.0017719543816336,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6193367837399641,-0.0515268643366452,0.1379231338073328,0.0359234681471623,0.05,0.9803921568627452,-0.0025258266831688,0.0067609379317319,-0.0025763432168322,-0.0257634321683226,-0.0051526864336645,False,0.0319866542212428,0.373163719482243,0.3470304403581013,-0.0128983556475208,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.30492126714158,-0.071801834624102,-0.1474958796456026,0.0490196078431372,-0.0025258266831688,-0.30492126714158,-0.0025258266831688,-0.30492126714158,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.2224305085296332,-0.0025258266831688797,0.006760937931731992,-0.7509726729423102
R1_low_expansion_low_friction,a050_mu010_g002,R1,10,0.0009631427839378,0.000405688803469,-0.0005574539804687,0.1480647656979677,0.2967282812982167,0.148663515600249,0.0024170157911698,0.0482243480539903,0.0458073322628204,0.7212585347850157,0.6655975456700599,-0.0556609891149557,0.6306273598162998,0.5837682810431576,-0.0468590787731422,0.0025373685181767,0.0004183516943243,-0.0021190168238524,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.5413236941749067,-0.0468590787731422,0.148663515600249,0.0458073322628204,0.05,0.9803921568627452,-0.0022970136653501,0.0072874272353063,-0.0023429539386571,-0.0234295393865711,-0.0046859078773142,False,0.0310609210123036,0.3410127591311799,0.3504576408443285,-0.2971154381242256,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.2674615800896942,-0.0343421475722162,-0.0694827900805452,0.0490196078431372,-0.0022970136653501,-0.2674615800896942,-0.0022970136653501,-0.2674615800896942,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.1951048407649013,-0.0022970136653501054,0.007287427235306316,-0.6354384155665701
R1_low_expansion_low_friction,a050_mu010_g002,R1,11,0.0010214015982495,0.0004356759795126,-0.0005857256187369,0.1509011234208014,0.2894897332137603,0.1385886097929589,0.0030168307399174,0.0503028706873847,0.0472860399474673,0.7232219754317574,0.6701344135518321,-0.0530875618799252,0.633891624435229,0.5883774637699055,-0.0455141606653234,0.0002266443044286,0.0001380961148959,-8.854818953266211e-05,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.5687772745670517,-0.0455141606653234,0.1385886097929589,0.0472860399474673,0.05,0.9803921568627452,-0.0022310863071236,0.0067935593035764,-0.0022757080332661,-0.0227570803326617,-0.0045514160665323,False,0.0839338248627996,0.3247390545748839,0.4640175207526179,0.0269541862881559,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.2806883735732618,-0.0475689410557838,-0.0969363704726902,0.0490196078431372,-0.0022310863071236,-0.2806883735732618,-0.0022310863071236,-0.2806883735732618,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.2047533721000422,-0.0022310863071236934,0.006793559303576409,-0.5199041581908301
R1_low_expansion_low_friction,a050_mu010_g002,R1,12,0.0010422983577861,0.0004563735449321,-0.0005859248128539,0.1516790075948072,0.2948735298075308,0.1431945222127235,0.0022078536508437,0.0526179367547952,0.0504100831039515,0.7222397689843433,0.6742502123094801,-0.0479895566748631,0.6310982625796844,0.587749000844794,-0.0433492617348904,0.0004963226999954,0.0001340901980065,-0.0003622325019889,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.5689707048752929,-0.0433492617348904,0.1431945222127235,0.0504100831039515,0.05,0.9803921568627452,-0.0021249638105338,0.0070193393241531,-0.0021674630867445,-0.0216746308674452,-0.004334926173489,False,0.0904408013123028,0.3416170557270034,0.4994567336252059,-0.0870199275901743,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.280781398831636,-0.047661966314158,-0.0971298007809314,0.0490196078431372,-0.0021249638105338,-0.280781398831636,-0.0021249638105338,-0.280781398831636,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.2048212311107312,-0.0021249638105338407,0.007019339324153105,-0.4043699008150901
R1_low_expansion_low_friction,a050_mu010_g002,R1,13,0.001013515495139,0.0004990887750218,-0.0005144267201171,0.1516307036433429,0.3082099434072162,0.1565792397638733,0.0033546325878594,0.048093083387201,0.0447384507993416,0.718988748437283,0.6721223263530783,-0.0468664220842046,0.6277918557271203,0.5856357217708598,-0.0421561339562605,0.0031485854516831,0.003273395811847,0.0001248103601638,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.4995414550308427,-0.0421561339562605,0.1565792397638733,0.0447384507993416,0.05,0.9803921568627452,-0.0020664771547186,0.0076754529296016,-0.002107806697813,-0.0210780669781302,-0.004215613395626,False,0.0146037944267691,0.3671973877954242,0.0644500163381758,0.3597438105746479,0.6160621175234969,0.6332879761555276,1.027961236604271,0.0716198214380969,0.3707084487971819,-0.2472440285677954,-0.0141245960503175,-0.0277005509364812,0.0490196078431372,-0.0020664771547186,-0.2472440285677954,-0.0020664771547186,-0.2472440285677954,-1.3708608102244972,0.0490196078431372,-1.3708608102244972,0.1803567705223886,-0.0020664771547186495,0.007675452929601624,-0.2888356434393501
